#              Col 1             Col 2            Col 3            Col 4            Col 5            Col 6            Col 7               Col 8            Col 9           Col 10           Col 11           Col 12           Col 13
#          time [JD]     r_I_ECI  [km]    r_J_ECI  [km]    r_K_ECI  [km]  v_I_ECI  [km/s]  v_J_ECI  [km/s]  v_K_ECI  [km/s]       r_I_ECEF [km]    r_J_ECEF [km]    r_K_ECEF [km]  v_I_ECEF [km/s]  v_J_ECEF [km/s]  v_K_ECEF [km/s]
 2456753.77471064823      39393.610469    -15013.546151      -725.864817         1.094421         2.873356         0.008504        29312.300392     30300.661846      -670.023113        -0.000761        -0.000108         0.009924
 2456753.77540509263      39458.898451    -14841.001673      -725.347637         1.081841         2.878118         0.008735        29312.254686     30300.655557      -669.421264        -0.000762        -0.000102         0.010137
 2456753.77609953703      39523.431023    -14668.173079      -724.816572         1.069241         2.882826         0.008967        29312.208893     30300.649628      -668.806601        -0.000764        -0.000096         0.010351
 2456753.77679398144      39587.206948    -14495.063679      -724.271633         1.056620         2.887479         0.009198        29312.163016     30300.644059      -668.179134        -0.000765        -0.000090         0.010564
 2456753.77748842584      39650.225003    -14321.676785      -723.712831         1.043979         2.892076         0.009429        29312.117054     30300.638848      -667.538877        -0.000767        -0.000084         0.010777
 2456753.77818287071      39712.484020    -14148.015599      -723.140174         1.031317         2.896618         0.009660        29312.071010     30300.633995      -666.885839        -0.000768        -0.000078         0.010990
 2456753.77887731511      39773.982721    -13974.083677      -722.553675         1.018636         2.901104         0.009890        29312.024886     30300.629496      -666.220036        -0.000769        -0.000072         0.011203
 2456753.77957175951      39834.719968    -13799.884232      -721.953345         1.005936         2.905535         0.010121        29311.978681     30300.625353      -665.541478        -0.000771        -0.000066         0.011415
 2456753.78026620392      39894.694597    -13625.420598      -721.339194         0.993216         2.909910         0.010351        29311.932397     30300.621563      -664.850179        -0.000772        -0.000060         0.011628
 2456753.78096064832      39953.905456    -13450.696115      -720.711236         0.980477         2.914230         0.010581        29311.886036     30300.618126      -664.146152        -0.000773        -0.000055         0.011840
 2456753.78165509272      40012.351410    -13275.714126      -720.069481         0.967719         2.918494         0.010811        29311.839598     30300.615040      -663.429411        -0.000774        -0.000049         0.012051
 2456753.78234953713      40070.031337    -13100.477981      -719.413941         0.954942         2.922702         0.011040        29311.793085     30300.612303      -662.699969        -0.000776        -0.000043         0.012263
 2456753.78304398153      40126.944130    -12924.991032      -718.744630         0.942148         2.926854         0.011270        29311.746498     30300.609916      -661.957839        -0.000777        -0.000037         0.012474
 2456753.78373842593      40183.088697    -12749.256641      -718.061560         0.929335         2.930950         0.011499        29311.699838     30300.607876      -661.203037        -0.000778        -0.000031         0.012685
 2456753.78443287034      40238.463961    -12573.278168      -717.364744         0.916504         2.934990         0.011728        29311.653106     30300.606182      -660.435576        -0.000779        -0.000026         0.012896
 2456753.78512731474      40293.068859    -12397.058984      -716.654195         0.903656         2.938974         0.011957        29311.606304     30300.604834      -659.655471        -0.000780        -0.000020         0.013107
 2456753.78582175961      40346.902379    -12220.602343      -715.929927         0.890791         2.942901         0.012185        29311.559432     30300.603829      -658.862737        -0.000782        -0.000014         0.013317
 2456753.78651620401      40399.963416    -12043.911857      -715.191953         0.877908         2.946772         0.012414        29311.512492     30300.603167      -658.057389        -0.000783        -0.000008         0.013527
 2456753.78721064841      40452.250988    -11866.990793      -714.440288         0.865008         2.950587         0.012642        29311.465485     30300.602846      -657.239442        -0.000784        -0.000003         0.013737
 2456753.78790509282      40503.764090    -11689.842535      -713.674945         0.852092         2.954346         0.012870        29311.418411     30300.602865      -656.408912        -0.000785         0.000003         0.013947
 2456753.78859953722      40554.501736    -11512.470474      -712.895941         0.839160         2.958047         0.013097        29311.371272     30300.603223      -655.565815        -0.000786         0.000009         0.014156
 2456753.78929398162      40604.462950    -11334.878006      -712.103288         0.826211         2.961692         0.013325        29311.324070     30300.603918      -654.710167        -0.000787         0.000014         0.014365
 2456753.78998842603      40653.646773    -11157.068529      -711.297003         0.813247         2.965281         0.013552        29311.276804     30300.604950      -653.841984        -0.000788         0.000020         0.014574
 2456753.79068287043      40702.052262    -10979.045448      -710.477100         0.800267         2.968813         0.013778        29311.229476     30300.606316      -652.961282        -0.000789         0.000025         0.014782
 2456753.79137731483      40749.678487    -10800.812170      -709.643595         0.787271         2.972288         0.014005        29311.182000     30300.608102      -652.068078        -0.000790         0.000031         0.014991
 2456753.79207175924      40796.524534    -10622.372106      -708.796505         0.774261         2.975705         0.014231        29311.134551     30300.610134      -651.162390        -0.000791         0.000036         0.015199
 2456753.79276620364      40842.589502    -10443.728672      -707.935845         0.761236         2.979066         0.014457        29311.087045     30300.612497      -650.244235        -0.000792         0.000042         0.015406
 2456753.79346064804      40887.872509    -10264.885288      -707.061632         0.748196         2.982370         0.014683        29311.039480     30300.615190      -649.313630        -0.000793         0.000047         0.015614
 2456753.79415509291      40932.372714    -10085.845257      -706.173881         0.735141         2.985617         0.014909        29310.991859     30300.618211      -648.370592        -0.000794         0.000053         0.015821
 2456753.79484953731      40976.089203     -9906.612247      -705.272611         0.722073         2.988807         0.015134        29310.944181     30300.621558      -647.415140        -0.000795         0.000058         0.016027
 2456753.79554398172      41019.021165     -9727.189567      -704.357839         0.708990         2.991940         0.015359        29310.896450     30300.625232      -646.447293        -0.000796         0.000064         0.016234
 2456753.79623842612      41061.167778     -9547.580653      -703.429581         0.695894         2.995015         0.015583        29310.848664     30300.629229      -645.467068        -0.000797         0.000069         0.016440
 2456753.79693287052      41102.528231     -9367.788943      -702.487856         0.682785         2.998033         0.015808        29310.800825     30300.633549      -644.474484        -0.000798         0.000075         0.016646
 2456753.79762731493      41143.101730     -9187.817878      -701.532682         0.669663         3.000993         0.016032        29310.752935     30300.638191      -643.469560        -0.000798         0.000080         0.016851
 2456753.79832175933      41182.887496     -9007.670904      -700.564076         0.656527         3.003897         0.016255        29310.704994     30300.643152      -642.452316        -0.000799         0.000085         0.017057
 2456753.79901620373      41221.884764     -8827.351469      -699.582057         0.643380         3.006742         0.016479        29310.657002     30300.648432      -641.422770        -0.000800         0.000090         0.017261
 2456753.79971064813      41260.092785     -8646.863025      -698.586644         0.630219         3.009530         0.016702        29310.608962     30300.654030      -640.380942        -0.000801         0.000096         0.017466
 2456753.80040509254      41297.510825     -8466.209027      -697.577855         0.617047         3.012261         0.016924        29310.560873     30300.659943      -639.326853        -0.000802         0.000101         0.017670
 2456753.80109953694      41334.138165     -8285.392933      -696.555711         0.603863         3.014933         0.017147        29310.512738     30300.666170      -638.260522        -0.000802         0.000106         0.017874
 2456753.80179398181      41369.974126     -8104.418084      -695.520230         0.590667         3.017548         0.017369        29310.464555     30300.672711      -637.181968        -0.000803         0.000111         0.018077
 2456753.80248842621      41405.017969     -7923.288186      -694.471432         0.577460         3.020106         0.017591        29310.416328     30300.679563      -636.091215        -0.000804         0.000117         0.018281
 2456753.80318287062      41439.269047     -7742.006586      -693.409338         0.564241         3.022605         0.017812        29310.368055     30300.686725      -634.988281        -0.000805         0.000122         0.018483
 2456753.80387731502      41472.726701     -7560.576753      -692.333967         0.551012         3.025047         0.018033        29310.319739     30300.694196      -633.873189        -0.000805         0.000127         0.018686
 2456753.80457175942      41505.390287     -7379.002162      -691.245340         0.537772         3.027430         0.018254        29310.271380     30300.701974      -632.745958        -0.000806         0.000132         0.018888
 2456753.80526620382      41537.259178     -7197.286289      -690.143478         0.524522         3.029756         0.018475        29310.222979     30300.710058      -631.606612        -0.000807         0.000137         0.019090
 2456753.80596064823      41568.332761     -7015.432611      -689.028401         0.511262         3.032024         0.018695        29310.174536     30300.718446      -630.455171        -0.000808         0.000142         0.019291
